ABELL 291                      02:01:44.20  -02:12:03.00  0.196  N   ABELL 291                      02:01:44.20  -02:12:03.00  0.197  okabe&15              2015arXiv150704493O     1.000   0.464   4.557   1.014   8.886   2.136  12.514   3.471   1.402   0.141   4.012   0.492   6.860   0.950
CFHTLS c16-w1                  02:01:48.48  -10:51:10.80  0.660  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.637   0.097   1.884   0.286   2.889   0.439   3.277   0.498   1.338   0.120   2.721   0.288   3.813   0.436
CFHTLS c14-w1                  02:02:08.16  -08:26:13.20  0.400  P   GMBCG J030.53418-08.43703      02:02:08.20  -08:26:13.30  0.349  shan+12               2012ApJ...748...56S     0.472   0.056   1.293   0.152   1.929   0.227   2.250   0.265   0.956   0.069   1.873   0.158   2.575   0.233
CFHTLS c2-w1                   02:02:30.00  -03:57:57.60  0.480  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     5.063   2.930  16.405   9.492  25.997  15.042  30.534  17.667   3.903   1.012  10.136   3.250  16.284   5.842
CFHTLS c13-w1                  02:02:49.92  -09:20:13.20  0.230  P   ABELL 298                      02:02:48.90  -09:19:57.00  0.143  shan+12               2012ApJ...748...56S     0.056   0.032   0.131   0.075   0.185   0.106   0.217   0.125   0.183   0.079   0.291   0.138   0.362   0.179
CFHTLS c6-w1                   02:03:21.60  -07:19:51.60  0.270  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.265   0.059   0.681   0.151   0.994   0.220   1.176   0.260   0.603   0.087   1.106   0.183   1.473   0.260
CFHTLS c5-w1                   02:03:26.40  -05:55:30.00  0.380  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.253   0.053   0.665   0.140   0.979   0.206   1.139   0.239   0.618   0.085   1.131   0.178   1.504   0.252
CFHTLS c15-w1                  02:03:28.80  -09:49:01.20  0.320  P   GMBCG J030.86962-09.81667      02:03:28.71  -09:49:00.00  0.330  shan+12               2012ApJ...748...56S     0.226   0.057   0.583   0.146   0.852   0.213   0.999   0.250   0.553   0.091   0.999   0.189   1.321   0.265
CFHTLS c9-w1                   02:03:32.16  -06:44:09.60  0.810  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     1.077   0.270   3.398   0.852   5.334   1.337   5.994   1.502   2.017   0.280   4.366   0.728   6.318   1.147
CFHTLS c1-w1                   02:03:57.60  -04:13:22.80  0.180  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     2.022   1.216   5.691   3.421   8.575   5.155  10.491   6.307   2.067   0.633   4.760   1.779   7.127   2.934
